Mineral,Synth,link,Earth,,,,
Addibischoffite,No,,No,,,,
Adrianite,No,,No,,,,
Akimotoite,Yes,https://www.degruyter.com/document/doi/10.2138/am-1999-0307/html,No,,,,
Allabogdanite,Yes,https://www.nature.com/articles/s41598-018-37795-x,Yes,https://pubs.geoscienceworld.org/msa/ammin/article-abstract/106/6/944/598807/Discovery-of-terrestrial-allabogdanite-Fe-Ni-2P,,,
Allendeite,Yes,,No,,,,
Antitaenite,Maybe,https://www.diva-portal.org/smash/get/diva2:163963/FULLTEXT01.pdf,No,,,,
Asimowite,No,,No,,,,
Barringerite,No,,Maybe,https://rruff.info/Barringerite,(no papers found),,
Beckettite,No,,No,,,,
Brearleyite,No,,No,,,,
Brezinaite,No,,No,,,,
Browneite,Maybe?,https://www.its.caltech.edu/~chima/publications/2012_AmMin_browneite.pdf,No,,,,
Buchwaldite,No,,No,,,,
Burnettite,Yes,https://www.hou.usra.edu/meetings/lpsc2016/pdf/1595.pdf,No,,,,
Buseckite,Maybe,https://pubs.geoscienceworld.org/msa/ammin/article-abstract/97/7/1226/45685/Buseckite-Fe-Zn-Mn-S-a-new-mineral-from-the,No,,,,
Butianite,Yes,https://www.hou.usra.edu/meetings/metsoc2017/pdf/6032.pdf,No,,,,
Carletonmooreite,No,,No,,,,
Carlsbergite,No,,No,,,,
Caswellsilverite,No,,No,,,,
Chladniite,No,,Yes,https://pubs.geoscienceworld.org/eurjmin/article-abstract/29/2/287/521280/First-terrestrial-occurrence-of-the-complex,,,
Chukanovite,Yes,"https://www.sciencedirect.com/science/article/abs/pii/S0010938X14001553, https://www.researchgate.net/publication/279690600_A_multi-technique_micrometer-to_atomic-scale_description_of_a_synthetic_analogue_of_chukanovite_Fe2CO3OH2",No,,,,
Cohenite,Yes,"https://www.mindat.org/min-1107.html, https://www.tandfonline.com/doi/full/10.1080/09506608.2018.1560984",No,,,,
Czochralskiite,No,,No,,,,
Daubréelite,No,,No,,,,
Davisite,Yes,https://www.its.caltech.edu/~chima/publications/2009_AM_davisite.pdf,No,,,,
Decagonite,Maybe,https://wwwphy.princeton.edu/~steinh/decagonite.pdf,No,,,,
Djerfisherite,Yes,https://rruff-2.geo.arizona.edu/uploads/CM32_815.pdf,No,,,,
Dmitryivanovite,No,,No,,,,
Droninoite,No,,No,,,,
Farringtonite,Yes,https://rruff-2.geo.arizona.edu/uploads/AM58_949.pdf,No,,,,
Florenskyite,No,,No,,,,
Galileiite,No,,No,,,,
Grossite,Yes,"https://www.mindat.org/min-1754.html, https://www.researchgate.net/publication/224788093_Effect_of_Mechanochemical_Treatment_on_the_Synthesis_of_Calcium_Dialuminate",Yes,https://pubs.geoscienceworld.org/eurjmin/article-abstract/6/4/591/62645/Grossite-CaAl-4-O-7-a-rare-phase-in-terrestrial,,,
Grossmanite,No,,No,,,,
Hapkeite,Maybe,https://www.lpi.usra.edu/meetings/lpsc2003/pdf/1818.pdf,No,,,,
Haxonite,No,,No,,,,
Heideite,Maybe,https://pubs.geoscienceworld.org/msa/ammin/article-abstract/59/5-6/465/541064/Heideite-Fe-Cr-1-x-Ti-Fe-2S4-A-New-Mineral-in-the?redirectedFrom=fulltext,No,,,,
Hemleyite,No,,No,,,,
Hexamolybdenum,No,,No,,,,
Hibonite-(Fe),No,,No,,,,
Hollisterite,Yes,https://journals.iucr.org/m/issues/2020/03/00/lt5026/index.html,No,,,,
Hutcheonite,No,,No,,,,
Joegoldsteinite,No,,No,,,,
Kaitianite,Yes,https://authors.library.caltech.edu/96993/1/Ma_2019p6098.pdf,No,,,,
Kamacite,No,,No,,,,
Kangite,No,,No,,,,
Keilite,Yes,https://www.researchgate.net/publication/228790499_The_new_mineral_species_Keilite_FeMgS_the_iron-dominant_analogue_of_niningerite,No,,,,
Krinovite,No,,No,,,,
Krotite,No,,No,,,,
Kryachkoite,No,,No,,,,
Kushiroite,Yes,https://rruff-2.geo.arizona.edu/uploads/AM94_1479.pdf,No,,,,
Lingunite,No,,Yes,https://www.nature.com/articles/srep25991,,,
Lonsdaleite,Yes,https://futurism.com/new-synthetic-diamond-is-harder-than-nearly-all-found-in-nature,Yes,https://en.wikipedia.org/wiki/Lonsdaleite#Occurrence,,,
Machiite,Yes,https://www.degruyter.com/document/doi/10.2138/am-2020-7185/html,No,,,,
Majindeite,No,,No,,,,
Majorite,Yes,https://www.researchgate.net/publication/249517440_Microstructures_and_structural_phase_transition_in_MgFeSiO3_majorite,Yes,https://en.wikipedia.org/wiki/Majorite#Synthetic_magnesium_endmember_majorite,,,
Melliniite,No,,No,,,,
Merrihueite,Maybe ,"""Very similar to"" https://pubmed.ncbi.nlm.nih.gov/17832577/",No,,,,
Merrillite,Yes,https://www.hou.usra.edu/meetings/lpsc2019/pdf/1676.pdf,Yes,https://www.hou.usra.edu/meetings/lpsc2019/pdf/1676.pdf,,,
Moissanite†*,Yes,https://www.gemologyproject.com/wiki/index.php?title=Synthetic_moissanite,Yes,http://www.minsocam.org/msa/collectors_corner/arc/moissanite.htm,,,
Monipite,No,,No,,,,
Moraskoite,Maybe,https://www.cambridge.org/core/journals/mineralogical-magazine/article/abs/moraskoite-na2mgpo4f-a-new-mineral-from-the-morasko-iabmg-iron-meteorite-poland/6F14AD0E1FB3CE50467171B199D8B395,No,,,,
Murchisite,Yes,Synthesized long before meteorite discovery: https://www.its.caltech.edu/~chima/publications/2011_AM_murchisite.pdf,No,,,,
Nierite,Yes,Synthesized long before meteorite discovery: https://en.wikipedia.org/wiki/Silicon_nitride#History,No,,,,
Niningerite,No,,No,,,,
Nuwaite,No,,No,,,,
Oldhamite,Yes, https://elib.dlr.de/126039/1/EPSC2018-333.pdf,No,,,,
Osbornite,Yes,https://www.mindat.org/min-3035.html,Yes,https://www.researchgate.net/publication/234226795_Osbornite_TiN_and_boron_nitride_nanoinclusions_in_coesite_from_Tibet_a_first_record_of_nitrogen_in_a_terrestrial_ultrahigh_pressure_environmentt,,,
Panethite,No,,No,,,,
Panguite,No,,No,,,,
Paqueite,Yes,https://www.hou.usra.edu/meetings/lpsc2016/pdf/1595.pdf,No,,,,
Ringwoodite,Yes,https://web.archive.org/web/20140629015531/http://www.earth.northwestern.edu/research/jacobsen/pdfs/Ye2012-EoS-hydrous-ringwoodite-AmMin.pdf,Yes,https://www.nature.com/articles/nature13080,,,
Roaldite,No,,No,,,,
Rubinite,Yes,https://www.researchgate.net/publication/318833329_Discovery_of_Rubinite_Ca_3Ti3_2Si_3O_12_a_new_Garnet_Mineral_in_Refractory_Inclusions_from_Carbonaceous_Chondrites,No,,,,
Rudashevskyite,No,,Yes,,,,
Schreibersite,Yes,https://digitalcommons.usf.edu/etd/5724/,Yes,https://www.nature.com/articles/s41467-021-21849-2,,,
Sinoite,No,,No,,,,
Stanfieldite,Yes,https://www.mdpi.com/2073-4352/10/6/464/pdf,No,,,,
Steinhardtite,No,,No,,,,
Suessite,Maybe?,https://www.abc.net.au/science/articles/2004/04/27/1095850.htm,No,,,,
Taenite,No,,No,,,,
Tetrataenite,Yes,https://www.sciencedirect.com/science/article/abs/pii/S0304885317324095,Yes,https://pubs.geoscienceworld.org/msa/ammin/article-abstract/100/1/209/105906/Tetrataenite-in-terrestrial-rock?redirectedFrom=fulltext,,,
Tistarite,Maybe,"Synthetic ""analog"": https://www.its.caltech.edu/~chima/publications/2009_AM_tistarite.pdf",No,,,,
Troilite,Yes,https://www.cambridge.org/core/journals/mineralogical-magazine/article/abs/synthesis-of-troilite-by-the-arcdischarge-method/91E65BCDED8D0805519DE35E52A320CA,No,,,,
Uakitite,Yes,https://www.mdpi.com/2075-163X/10/2/150,No,,,,
Ureyite,Yes,http://www.minsocam.org/msa/collectors_corner/arc/ureyite.htm,Yes,https://pubs.geoscienceworld.org/msa/ammin/article-abstract/69/11-12/1180/41601/A-terrestrial-source-of-ureyite,,,
Wadsleyite,Yes,http://www.minsocam.org/MSA/AmMin/TOC/2015/Abstracts/AM100P2336.pdf,No,,,,
Warkite,No,,No,,,,
Wassonite*,Maybe,"Synthetic ""analog"": https://en.wikipedia.org/wiki/Wassonite",No,,,,
Xieite,No,,No,,,,
Xifengite,No,,No,,,,
Yagiite,No,,No,,,,
